Time,Totalcalls,ActiveCalls,RingingCalls
Tue Jul 19 00:31:11 EST 2022,0,0,0
Tue Jul 19 00:31:21 EST 2022,0,0,0
Tue Jul 19 00:31:31 EST 2022,0,0,0
Tue Jul 19 00:31:41 EST 2022,0,0,0
Tue Jul 19 00:31:51 EST 2022,0,0,0
Tue Jul 19 00:32:01 EST 2022,0,0,0
Tue Jul 19 00:32:11 EST 2022,0,0,0
Tue Jul 19 00:32:21 EST 2022,0,0,0
Tue Jul 19 00:32:31 EST 2022,0,0,0
Tue Jul 19 00:32:41 EST 2022,0,0,0
Tue Jul 19 00:32:51 EST 2022,0,0,0
Tue Jul 19 00:33:01 EST 2022,0,0,0
Tue Jul 19 00:33:11 EST 2022,0,0,0
Tue Jul 19 00:33:21 EST 2022,0,0,0
Tue Jul 19 00:33:31 EST 2022,1,0,1
Tue Jul 19 00:33:41 EST 2022,1,0,1
Tue Jul 19 00:33:51 EST 2022,1,0,1
Tue Jul 19 00:34:01 EST 2022,1,1,0
Tue Jul 19 00:34:11 EST 2022,0,0,0
Tue Jul 19 00:34:21 EST 2022,0,0,0
Tue Jul 19 00:34:31 EST 2022,0,0,0
Tue Jul 19 00:34:41 EST 2022,0,0,0
Tue Jul 19 00:34:51 EST 2022,0,0,0
Tue Jul 19 00:35:01 EST 2022,0,0,0
Tue Jul 19 00:35:11 EST 2022,0,0,0
Tue Jul 19 00:35:21 EST 2022,0,0,0
Tue Jul 19 00:35:31 EST 2022,0,0,0
Tue Jul 19 00:35:41 EST 2022,0,0,0
Tue Jul 19 00:35:51 EST 2022,0,0,0
Tue Jul 19 00:36:01 EST 2022,0,0,0
Tue Jul 19 00:36:11 EST 2022,0,0,0
Tue Jul 19 00:36:21 EST 2022,0,0,0
Tue Jul 19 00:36:31 EST 2022,0,0,0
Tue Jul 19 00:36:41 EST 2022,0,0,0
Tue Jul 19 00:36:51 EST 2022,0,0,0
Tue Jul 19 00:37:01 EST 2022,0,0,0
Tue Jul 19 00:37:11 EST 2022,0,0,0
Tue Jul 19 00:37:21 EST 2022,0,0,0
Tue Jul 19 00:37:31 EST 2022,0,0,0
Tue Jul 19 00:37:41 EST 2022,0,0,0
Tue Jul 19 00:37:51 EST 2022,0,0,0
Tue Jul 19 00:38:01 EST 2022,0,0,0
Tue Jul 19 00:38:11 EST 2022,0,0,0
Tue Jul 19 00:38:21 EST 2022,0,0,0
Tue Jul 19 00:38:31 EST 2022,0,0,0
Tue Jul 19 00:38:42 EST 2022,0,0,0
Tue Jul 19 00:38:52 EST 2022,0,0,0
Tue Jul 19 00:39:02 EST 2022,1,0,1
Tue Jul 19 00:39:12 EST 2022,1,0,1
Tue Jul 19 00:39:22 EST 2022,1,0,1
Tue Jul 19 00:39:32 EST 2022,1,1,0
Tue Jul 19 00:39:42 EST 2022,0,0,0
Tue Jul 19 00:39:52 EST 2022,0,0,0
Tue Jul 19 00:40:02 EST 2022,0,0,0
Tue Jul 19 00:40:12 EST 2022,0,0,0
Tue Jul 19 00:40:22 EST 2022,0,0,0
Tue Jul 19 00:40:32 EST 2022,0,0,0
Tue Jul 19 00:40:42 EST 2022,0,0,0
Tue Jul 19 00:40:52 EST 2022,0,0,0
Tue Jul 19 00:41:02 EST 2022,0,0,0
Tue Jul 19 00:41:12 EST 2022,0,0,0
Tue Jul 19 00:41:22 EST 2022,0,0,0
